zip_code,devices,households
75033,51,22
75034,1884,1117
75035,706,521
75056,1919,1082
75058,165,91
75068,4220,2444
75069,1464,959
75070,96,60
75071,154,99
75078,935,419
75087,460,244
75092,8,4
75098,3,2
75114,50,28
75126,2269,1222
75132,15,9
75140,771,485
75143,266,158
75147,113,83
75148,87,56
75156,501,342
75159,1168,729
75160,2225,1433
75161,91,49
75163,11,9
75180,2293,1421
75181,104,59
75189,1402,793
75253,323,220
75287,241,206
75407,52,36
75409,1116,650
75412,10,8
75416,347,246
75417,179,126
75421,83,48
75426,520,412
75431,124,89
75435,91,70
75436,141,96
75454,716,375
75455,2919,2077
75457,710,504
75460,5479,3874
75462,2498,1555
75477,138,93
75482,4563,3126
75486,120,82
75487,90,62
75493,63,50
75494,1124,769
75550,47,37
75554,93,69
75604,65,38
75638,581,388
75647,2382,1529
75652,2021,1387
75654,1604,1056
75656,230,169
75658,5,4
75662,347,247
75668,188,138
75686,881,639
75693,1536,1000
75701,10199,6376
75702,4937,3300
75703,13848,8263
75704,1133,733
75705,26,14
75706,984,629
75707,3377,2078
75708,953,613
75709,1177,682
75750,10,5
75751,3438,2347
75752,539,342
75757,417,261
75758,513,350
75762,1197,702
75763,211,125
75766,3379,2423
75770,21,12
75771,4365,2590
75773,2005,1286
75783,831,571
75785,402,283
75789,96,44
75791,3300,2026
75901,3697,2348
75904,5032,3323
75935,352,268
75941,763,508
75946,65,42
75961,2620,1941
75962,13,10
75964,2882,1962
75965,4914,3272
75972,146,114
76052,928,293
76067,3252,2295
76092,337,94
76131,422,163
76137,705,332
76177,347,172
76179,721,250
76207,1550,1046
76208,95,53
76210,327,244
76226,586,350
76227,2368,1272
76240,3177,2331
76244,6851,2839
76248,1611,840
76249,634,332
76258,610,364
76262,947,390
76264,106,67
76266,1319,761
76271,172,104
76273,780,562
76354,860,604
76367,420,308
76384,993,800
76424,966,722
76437,400,290
76448,481,350
76466,23,17
76470,278,221
76528,161,114
76537,725,459
76550,473,376
76567,345,252
76598,2,2
76643,2327,1641
76655,39,22
76657,719,401
76701,138,123
76704,449,342
76705,258,184
76706,4006,3125
76707,1436,1097
76708,1759,1306
76710,3594,2681
76711,925,730
76712,3802,2519
76825,534,420
76901,9625,5883
76902,1,1
76903,8741,5748
76904,13753,8080
76905,2933,1817
76908,105,95
76909,5,3
77301,4501,3057
77302,1531,795
77303,1842,1176
77304,5564,3480
77316,1186,689
77318,4240,2463
77320,2173,1559
77331,188,125
77336,441,254
77339,12607,6816
77340,4504,3314
77341,1,1
77345,10541,5016
77351,912,623
77356,6585,3626
77357,757,491
77360,750,487
77364,189,123
77371,389,259
77372,306,204
77378,1545,970
77384,223,127
77385,151,84
77521,114,74
77523,201,138
77532,146,96
77801,2798,2140
77802,8316,5540
77803,5213,3610
77807,1596,969
77808,689,434
77833,1599,1117
77843,139,84
77845,13526,8569
77868,574,406
77901,11381,7935
77904,9330,5946
77905,1332,846
77968,2,1
77988,162,100
78024,29,19
78025,203,159
78201,675,484
78202,258,181
78204,343,225
78205,16,16
78208,15,10
78209,2117,1423
78212,1486,1091
